Address | Character | Facing | Quadrant | Equipment | Animation | Anim 2 Mirrored
======= | ========= | ====== | ======== | ========= | ========= | ===============
0x00    | VillagerM | N      | UL+UR    |           | 1         | Yes
0x01    | VillagerM | S      | UL+UR    |           | 1         | Yes
0x02    | VillagerM | N      | LL       |           | 1         | Yes
0x03    | VillagerM | N      | LR       |           | 1         | Yes
0x04    | VillagerM | E      | UL       |           | 1+2       | 
0x05    | VillagerM | E      | UR       |           | 1+2       |
0x06    | VillagerM | E      | LL       |           | 1         |
0x07    | VillagerM | E      | LR       |           | 1         |
0x08    | VillagerM | E      | LL       |           | 2         |
0x09    | VillagerM | E      | LR       |           | 2         |
0x0a    | VillagerM | S      | LL       |           | 1         | Yes
0x0b    | VillagerM | S      | LR       |           | 1         | Yes
0x0c    | VillagerF | N      | UL+UR    |           | 1         | Yes
0x0d    | VillagerF | S      | UL+UR    |           | 1         | Yes
0x0e    | VillagerF | N      | LR       |           | 1         | Yes
0x0f    | VillagerF | N      | LL       |           | 1         | Yes
0x10    | VillagerF | E      | UL       |           | 1+2       |
0x11    | VillagerF | E      | UR       |           | 1+2       |
0x12    | VillagerF | E      | LL       |           | 2         |
0x13    | VillagerF | E      | LR       |           | 2         |
0x14    | VillagerF | E      | LL       |           | 1         |
0x15    | VillagerF | E      | LR       |           | 1         |
0x16    | VillagerF | S      | LL       |           | 1         | Yes
0x17    | VillagerF | S      | LR       |           | 1         | Yes
0x18    | Gwaelin   | N      | UL       |           | 1+2       | Yes
0x19    | Gwaelin   | E      | UR       |           | 1+2       |
0x1a    | Gwaelin   | N      | LL       |           | 1         | Yes
0x1b    | Gwaelin   | N      | LR       |           | 1         | Yes
0x1c    | Merchant  | E      | LR       |           | 2         |
0x1d    | Merchant  | S      | UL+UR    |           | 1         | Yes
0x1e    | Merchant  | S      | LL       |           | 1         | Yes
0x1f    | Merchant  | S      | LR       |           | 1         | Yes
0x20    | Loto      | N      | UL       | None      | 1         | Yes
0x21    | Loto      | N      | UR       | None      | 1         | Yes
0x22    | Merchant  | N      | UL+UR    |           | 1         | Yes
0x23    | Merchant  | E      | LL       |           | 2         |
0x24    | Loto      | N      | LL       | None      | 1         | Yes
0x25    | Loto      | N      | LR       | None      | 1         | Yes
0x26    | Loto      | E      | UL       | None      | 1         | No
0x27    | Loto      | E      | UR       | None      | 1         | No
0x28    | Loto      | E      | LL       | None      | 1         | No
0x29    | Loto      | E      | LR       | None      | 1         | No
0x2a    | Merchant  | N      | LL       |           | 1         | Yes
0x2b    | Merchant  | N      | LR       |           | 1         | Yes
0x2c    | Merchant  | E      | UL       |           | 1         | Yes
0x2d    | Merchant  | E      | UR       |           | 1         | Yes
0x2e    | Merchant  | E      | LL       |           | 1         |
0x2f    | Merchant  | E      | LR       |           | 1         |
0x30    | Loto      | E      | UL       | None      | 2         | No
0x31    | Loto      | E      | UR       | None      | 2         | No
0x32    | Loto      | E      | LL       | None      | 2         | No
