Offsets do not include ROM header

From | Offset | Map | X   | Y   | To   | Offset | Map | X  | Y  | Location             | Index
==== | ====== | === | === | === | ==== | ====== | === | == | == | ==================== |
F3C8 | 0      | 1   | 2   | 2   | F461 | 153    | 9   | 0  | 14 | Garinham             | 0
F3CB | 3      | 1   | 81  | 1   | F464 | 156    | 13  | 4  | 9  | Northern Shrine      | 1
F3CE | 6      | 1   | 104 | 10  | F477 | 159    | 7   | 19 | 23 | Kol                  | 2
F3D1 | 9      | 1   | 48  | 41  | F46A | 162    | 8   | 0  | 15 | Brecconary           | 3
F3D4 | 12     | 1   | 43  | 43  | F46D | 165    | 4   | 11 | 29 | Tantegel             | 4
F3D7 | 15     | 1   | 104 | 44  | F470 | 168    | 21  | 0  | 0  | Swamp Cave           | 5
F3DA | 18     | 1   | 48  | 48  | F473 | 171    | 2   | 10 | 19 | Charlock             | 6
F3DD | 21     | 1   | 104 | 49  | F476 | 174    | 21  | 0  | 29 | Swamp Cave           | 7
F3E0 | 24     | 1   | 29  | 57  | F479 | 177    | 22  | 0  | 7  | Mountain Cave Lv. 1  | 8
F3E3 | 27     | 1   | 102 | 72  | F47C | 180    | 11  | 29 | 14 | Rimuldar             | 9
F3E6 | 30     | 1   | 25  | 89  | F47F | 183    | 3   | 0  | 10 | Hauksness            | 10
F3E9 | 33     | 1   | 73  | 102 | F482 | 186    | 10  | 15 | 0  | Cantlin              | 11
F3EC | 36     | 1   | 108 | 109 | F495 | 189    | 14  | 0  | 4  | Southern Shrine      | 12
F3EF | 39     | 1   | 28  | 12  | F488 | 192    | 28  | 0  | 0  | Erdrick's Cave Lv. 1 | 13
F3F2 | 42     | 2   | 10  | 1   | F48B | 195    | 15  | 9  | 0  | Charlock Cave Lv. 1  | 14
F3F5 | 45     | 2   | 4   | 14  | F48E | 198    | 15  | 8  | 13 | Charlock Cave Lv. 1  | 15
F3F8 | 48     | 2   | 15  | 14  | F491 | 201    | 15  | 17 | 15 | Charlock Cave Lv. 1  | 16
F3FB | 51     | 4   | 29  | 29  | F494 | 204    | 12  | 0  | 4  | Tantegel Basement    | 17
F3FE | 54     | 5   | 8   | 8   | F497 | 207    | 4   | 7  | 7  | Tantegel             | 18
F401 | 57     | 9   | 19  | 0   | F49A | 210    | 24  | 6  | 11 | Garin's Grave Lv. 1  | 19
